Names,variety,country_norm,color_simple,price_level,abv_level,ABV,Ratings,Ratingsnum,Prices
Cune Imperial Gran Reserva Rioja 2015,"""Tempranillo",Spain,Red Wine,high,medium,,0.0,0,92.99
Cune Crianza 2018,"""Tempranillo",Spain,Red Wine,low,medium,,3.9,16,14.99
Cune Rioja Reserva 2017,"""Tempranillo",Spain,Red Wine,medium,medium,,0.0,0,29.99
Cune Monopole 2021,"""Viura",Spain,White Wine,low,medium,,0.0,0,16.99
Cune Organic Rioja 2020,"""Other Red Blends",Spain,Red Wine,low,medium,,0.0,0,14.99
Cupcake Vineyards Prosecco,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.0,566,14.99
Cupcake Vineyards Riesling 2020,"""Riesling",US,White Wine,low,medium,,0.0,0,10.99
Cupcake Vineyards Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,3.8,15,11.99
Cupcake Vineyards Pinot Noir 2020,"""Pinot Noir",US,Red Wine,low,medium,,4.1,5,9.99
Cupcake Vineyards Moscato d'Asti 2021,Muscat,Italy,White Wine,low,low,5.5,0.0,0,16.99
Cupcake Vineyards Red Velvet,Other Red Blends,US,Red Wine,low,medium,13.5,3.8,120,11.99
Cupcake Vineyards Black Forest Decadent Red,Other Red Blends,US,Red Wine,low,medium,13.5,3.8,91,15.99
Cupcake Vineyards Sparkling Rose,Sparkling Rosé,Italy,Sparkling & Champagne,low,low,11.0,3.9,101,12.99
Cupcake Vineyards Cabernet Sauvignon 2020,"""Cabernet Sauvignon",US,Red Wine,low,medium,,0.0,0,9.99
Cupcake Vineyards Prosecco Rose 2020,"""Sparkling Rosé",US,Sparkling & Champagne,low,medium,,0.0,0,13.99
Cupcake Vineyards Merlot 2020,"""Merlot",US,Red Wine,low,medium,,0.0,0,10.99
Cusumano Insolia 2021,"""Inzolia",Italy,White Wine,low,medium,,0.0,0,15.99
Cusumano Nero d'Avola 2020,"""Nero d'Avola",Italy,Red Wine,low,medium,,3.6,28,13.99
Cuvaison Chardonnay 2019,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,39.99
Cuvaison Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,medium,medium,,0.0,0,31.99
Cuvaison Estate Pinot Noir 2018,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,42.99
Cuvelier Los Andes Grand Vin 2017,"""Malbec",US,Red Wine,medium,medium,,3.2,8,40.99
Cuvelier Los Andes Malbec 2018,"""Malbec",US,Red Wine,medium,medium,,0.0,0,24.99
Cuvelier Los Andes Cabernet Sauvignon 2016,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,4.0,7,25.99
Cycles Gladiator Pinot Noir 2020,"""Pinot Noir",US,Red Wine,low,medium,,0.0,0,14.99
Cycles Gladiator Merlot 2019,"""Merlot",US,Red Wine,low,medium,,0.0,0,12.99
Cycles Gladiator Cabernet Sauvignon 2020,Cabernet Sauvignon,US,Red Wine,low,high,14.5,0.0,0,11.99
Cycles Gladiator Petite Sirah 2019,"""Petite Sirah",US,Red Wine,low,medium,,4.6,9,12.99
Cycles Gladiator Chardonnay 2020,"""Chardonnay",US,White Wine,low,medium,,0.0,0,10.99
Cypress Chardonnay 2019,"""Chardonnay",US,White Wine,low,medium,,0.0,0,14.99
Cypress Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,low,medium,,0.0,0,12.99
Cyprien Arlaud Hautes Cotes de Nuits Rouge 2020,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,43.99
d'Arenberg The Stump Jump GSM 2018,"""Rhone Red Blends",US,Red Wine,low,medium,,0.0,0,16.99
d'Arenberg The Derelict Vineyard Grenache 2016,"""Grenache",US,Red Wine,medium,medium,,3.9,33,28.99
d'Arenberg The High Trellis Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,0.0,0,22.99
d'Arenberg The Laughing Magpie Shiraz Viognier 2016,"""Syrah/Shiraz",US,Red Wine,medium,medium,,3.7,26,29.99
d'Arenberg The Stump Jump Red Blend 2019,"""Bordeaux Red Blends",France,Red Wine,low,medium,,0.0,0,17.99
d'Arenberg The Hermit Crab Viognier Marsanne 2021,"""Rhone White Blends",US,White Wine,low,medium,,4.0,13,18.99
d'Arenberg The Dead Arm Shiraz 2017,"""Syrah/Shiraz",US,Red Wine,high,medium,,4.1,17,65.99
d'Arenberg The Footbolt Shiraz 2019,"""Syrah/Shiraz",US,Red Wine,medium,medium,,0.0,0,20.99
d'Arenberg d'Arry's Original Shiraz/Grenache 2018,"""Rhone Red Blends",US,Red Wine,medium,medium,,0.0,0,24.99
d'Arenberg The Stump Jump Shiraz 2018,"""Syrah/Shiraz",US,Red Wine,low,medium,,0.0,0,12.99
D'Oliveira Boal 1968,Madeira,Portugal,Red Wine,high,medium,0.0,0.0,0,407.97
D'Oliveira Verdelho 1912,0,US,Red Wine,low,medium,,750.0,0,1.0
D'Oliveira Verdelho 1973,"""Madeira",US,Red Wine,high,medium,,0.0,0,330.97
D'Oliveira 1907 Malvasia 1989,"""Madeira",US,Red Wine,high,medium,,0.0,0,165.97
D'Oliveira Sercial 1937,"""Madeira",US,Red Wine,high,medium,,0.0,0,661.97
D'Oliveira Boal 1977,Madeira,Portugal,Red Wine,high,high,20.0,0.0,0,297.97
D. Ventura Pena do Lobo 2016,Mencia,Spain,Red Wine,medium,medium,0.0,3.0,5,26.98
D. Ventura Vina do Burato 2019,"""Mencia",US,Red Wine,medium,medium,,0.0,0,29.99
D. Ventura Vina Caneiro 2017,"""Mencia",US,Red Wine,medium,medium,,0.0,0,28.99
D.R. Stephens Estate Moose Valley Vineyard Cabernet Sauvignon 2015,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,179.97
D.R. Stephens Estate Moose Valley Vineyard Cabernet Sauvignon (1.5 Liter Magnum) 2015,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,359.97
Da Vinci Chianti 2020,"""Sangiovese",US,Red Wine,low,medium,,4.1,24,11.99
Da Vinci Pinot Grigio 2021,"""Pinot Gris/Grigio",US,White Wine,low,medium,,0.0,0,12.99
Da Vinci Chianti Riserva 2018,"""Sangiovese",US,Red Wine,medium,medium,,0.0,0,25.99
Dakota Shy Ten Cabernet Sauvignon 2017,Cabernet Sauvignon,US,Red Wine,high,medium,0.0,0.0,0,119.99
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2015,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,429.99
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2013,"""Other Red Blends",US,Red Wine,high,medium,,5.0,6,399.99
Dal Forno Romano Passito Vigna Sere (375ML half-bottle) 2004,"""Other Dessert",US,Red Wine,high,medium,,0.0,0,209.99
Dalla Valle Casa Dalla Valle Cabernet Sauvignon 2004,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,94.97
Dalla Valle Cabernet Sauvignon 2011,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,179.97
Dalla Valle DVO 2018,"""Bordeaux Red Blends",France,Red Wine,high,medium,,0.0,0,299.97
Dalla Valle Casa Dalla Valle Cabernet Sauvignon 2003,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,99.97
Dalla Valle MDV 2018,0,US,Red Wine,low,medium,,750.0,0,1.0
Dalla Valle Cabernet Sauvignon 2017,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,259.99
Dalla Valle Collina 2019,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,135.99
Dalrymple Estate Pinot Noir 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,54.99
Dalrymple Estate Pinot Noir 2020,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,52.99
Dalrymple Cottage Block Pinot Noir 2017,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,80.99
Dalrymple Cottage Block Pinot Noir 2018,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,79.99
Dalton Estate Canaan White (OU Kosher) 2021,Other White Blends,US,White Wine,low,medium,12.5,0.0,0,19.99
Dalton Estate Fume Blanc (OU Kosher) 2021,Sauvignon Blanc,US,White Wine,medium,medium,0.0,0.0,0,24.99
Dalton Estate Canaan Red (OU Kosher) 2020,Other Red Blends,US,Red Wine,low,medium,0.0,0.0,0,19.99
Dalton Estate Estate Cabernet Sauvignon (OU Kosher) 2019,Cabernet Sauvignon,US,Red Wine,medium,high,14.0,0.0,0,25.99
Dalton Estate Reserve Cabernet Sauvignon (OU Kosher) 2018,Cabernet Sauvignon,US,Red Wine,medium,high,14.5,0.0,0,42.99
Dalton Estate Estate Merlot (OU Kosher) 2018,Merlot,US,Red Wine,medium,medium,0.0,0.0,0,29.99
Dalton Estate Mevushal Cabernet Sauvignon (OU Kosher) 2019,Cabernet Sauvignon,US,Red Wine,medium,medium,0.0,0.0,0,26.99
Damien Laureau La Petite Roche 2018,"""Chenin Blanc",US,White Wine,medium,medium,,0.0,0,26.99
Damien Laureau Savennieres Bel Ouvrage 2016,"""Chenin Blanc",US,White Wine,high,medium,,0.0,0,69.99
Damilano Marghe Nebbiolo Langhe 2019,"""Nebbiolo",Italy,Red Wine,medium,medium,,0.0,0,23.99
Damilano Barolo Lecinquevigne 2016,"""Nebbiolo",US,Red Wine,medium,medium,,4.1,8,44.99
Damilano Barolo Cannubi 2016,"""Nebbiolo",US,Red Wine,high,medium,,4.1,15,100.99
Damilano Barolo Brunate 2017,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,89.99
Damilano Barolo Cerequio 2016,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,89.99
Damilano 1752 Barolo Cannubi Riserva 2013,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,349.99
Damilano Barolo Lecinquevigne (375ML half-bottle) 2017,"""Nebbiolo",US,Red Wine,medium,medium,,0.0,0,29.99
Damilano Barbera d'Asti 2020,"""Barbera",US,Red Wine,medium,medium,,0.0,0,22.99
Damilano Langhe Arneis 2021,"""Arneis",Italy,White Wine,medium,medium,,0.0,0,29.99
Damilano Moscato d'Asti 2021,"""Muscat",Italy,White Wine,low,medium,,0.0,0,19.99
Damilano Barolo Liste 2016,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,84.99
Dana Estates Onda Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,209.99
Dana Estates Helms Vineyard Cabernet Sauvignon 2007,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,629.97
Dancing Bull Cabernet Sauvignon 2018,Cabernet Sauvignon,US,Red Wine,low,medium,0.0,3.9,7,14.99
Dancing Crow Vineyards Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,0.0,0,22.99
Dancing Crow Vineyards Zinfandel 2019,"""Zinfandel",US,Red Wine,medium,medium,,0.0,0,21.99
Dancing Crow Vineyards Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,0.0,0,18.99
Dandelion Vineyards Wishing Clock Of Adelaide Hills Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,4.4,10,17.99
Dandelion Vineyards Lionheart of the Barossa Shiraz 2019,"""Syrah/Shiraz",US,Red Wine,medium,medium,,0.0,0,25.99
Dandelion Vineyards Enchanted Garden of the Eden Valley Riesling 2021,"""Riesling",US,White Wine,medium,medium,,0.0,0,26.99
Daniel & Julien Barraud St-Veran Arpege 2020,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,28.99
Daniel & Julien Barraud Pouilly-Fuisse La Roche Premier Cru 2020,"""Chardonnay",US,White Wine,high,medium,,0.0,0,54.99
Daniel Dampt Chablis (375ML half-bottle) 2020,"""Chardonnay",US,White Wine,low,medium,,0.0,0,12.99
Daniel Dampt Chablis Beauroy Premier Cru 2018,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,41.99
Daniel Dampt Cote de Lechet Chablis 2020,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,37.99
Daniel Dampt Chablis Les Vaillons Premier Cru 2020,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,46.99
Daniel Dampt Cote de Lechet Chablis 2019,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,40.99
Danjean-Berthoux Mercurey Les Chavances 2019,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,37.99
Danjean-Berthoux Givry Clos du Cras Long Premier Cru Rouge 2019,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,46.99
Danjean-Berthoux Givry La Plante Premier Cru Blanc 2018,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,32.99
Dante Cabernet Sauvignon 2020,Cabernet Sauvignon,US,Red Wine,low,medium,13.5,0.0,0,14.99
Dante Merlot 2019,Merlot,US,Red Wine,low,medium,13.5,0.0,0,14.99
Dante Chardonnay 2020,Chardonnay,US,White Wine,low,medium,0.0,0.0,0,14.99
Dante Pinot Noir 2019,Pinot Noir,US,Red Wine,low,medium,0.0,3.8,14,12.99
DAOU Vineyards Rose 2021,"""Rosé",US,Red Wine,medium,medium,,4.3,13,24.99
DAOU Vineyards Paso Robles Chardonnay 2021,"""Chardonnay",US,White Wine,low,medium,,0.0,0,19.99
DAOU Vineyards Reserve Chardonnay 2019,"""Chardonnay",US,White Wine,high,medium,,3.8,17,50.99
DAOU Vineyards Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,3.6,10,19.99
DAOU Vineyards Pessimist Red Blend (375ML half-bottle) 2018,"""Other Red Blends",US,Red Wine,low,medium,,3.7,9,12.99
DAOU Vineyards Reserve Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,high,medium,,4.2,34,58.99
DAOU Vineyards Bodyguard Red 2019,"""Other Red Blends",US,Red Wine,medium,medium,,4.0,26,44.99
DAOU Vineyards Pessimist Red Blend 2020,"""Other Red Blends",US,Red Wine,medium,medium,,4.1,84,30.99
DAOU Vineyards Bodyguard Chardonnay 2020,"""Chardonnay",US,White Wine,high,medium,,0.0,0,50.99
DAOU Vineyards Soul of a Lion 2019,"""Bordeaux Red Blends",France,Red Wine,high,medium,,0.0,0,169.99
Darioush Signature Viognier 2021,"""Viognier",US,White Wine,high,medium,,0.0,0,67.99
Darioush Signature Cabernet Franc 2018,"""Cabernet Franc",US,Red Wine,high,medium,,0.0,0,95.99
Darioush Caravan Red 2018,"""Bordeaux Red Blends",US,Red Wine,high,medium,,4.3,29,56.99
Darioush Signature Merlot 2018,"""Merlot",US,Red Wine,high,medium,,0.0,0,75.99
Darioush Signature Chardonnay 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,74.99
Dark Horse Merlot 2020,Merlot,US,Red Wine,low,medium,0.0,4.2,9,9.99
Dark Horse Rose 2020,Rosé,US,Red Wine,low,medium,0.0,3.5,25,9.99
Dark Horse Buttery Chardonnay 2020,Chardonnay,US,White Wine,low,high,14.5,3.8,29,8.99
Dark Horse Big Red Blend,Other Red Blends,US,Red Wine,low,medium,13.5,3.7,686,9.99
Dark Horse Double Down Red Blend,Other Red Blends,US,Red Wine,low,high,14.5,3.7,653,14.99
Dark Horse Sparkling Brut,Non-Vintage Sparkling Wine,US,Sparkling & Champagne,low,medium,12.0,3.3,16,15.99
Dark Horse Pinot Noir 2020,Pinot Noir,US,Red Wine,low,medium,13.5,3.6,8,9.99
Dark Horse Rose 2021,Rosé,US,Red Wine,low,medium,13.0,0.0,0,10.99
Dark Horse Sauvignon Blanc 2021,Sauvignon Blanc,US,White Wine,low,medium,0.0,4.0,8,8.99
Dark Horse Cabernet Sauvignon 2020,Cabernet Sauvignon,US,Red Wine,low,high,14.5,3.5,29,8.99
Dark Horse Sparkling Brut Rose,Non-Vintage Sparkling Wine,US,Sparkling & Champagne,low,medium,12.0,3.4,21,15.99
Dark Matter Zinfandel 2013,"""Zinfandel",US,Red Wine,high,medium,,0.0,0,259.97
Darms Lane Chardonnay 2019,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,32.99
Darms Lane Bon Passe Vineyard Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,59.99
Darms Lane Fortune 1621 Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,0.0,0,33.99
Dashe Les Enfants Terribles Grenache 2017,"""Grenache",US,Red Wine,medium,medium,,3.3,12,29.99
Dashe Dry Creek Reserve Zinfandel (375ML half-bottle) 2017,"""Zinfandel",US,Red Wine,low,medium,,3.9,10,19.99
Dashe Dry Creek Reserve Zinfandel 2017,"""Zinfandel",US,Red Wine,medium,medium,,3.6,36,35.99
Dashe Late Harvest Zinfandel (375ML half-bottle) 2018,"""Other Dessert",US,Red Wine,medium,medium,,0.0,0,28.99
Dashwood Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,4.4,30,17.99
Davey & Browne Vortex 2017,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,3.7,9,22.99
Davey & Browne Gordon and Bitner Block Estate Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,52.99
David & Nadia Grenache 2019,"""Grenache",US,Red Wine,medium,medium,,0.0,0,44.99
David & Nadia Aristargos 2019,"""Other White Blends",US,White Wine,medium,medium,,0.0,0,42.99
David & Nadia Topography Pinotage 2020,"""Pinotage",US,Red Wine,medium,medium,,3.8,12,31.99
David & Nadia Chenin Blanc 2020,"""Chenin Blanc",US,White Wine,medium,medium,,3.0,5,44.99
David & Nadia Elpidios 2019,"""Other Red Blends",US,Red Wine,medium,medium,,0.0,0,37.99
David & Nadia Elpidios 2018,"""Other Red Blends",US,Red Wine,medium,medium,,0.0,0,47.99
David Arthur Elevation 1147 Estate Cabernet Sauvignon 2017,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,249.99
David Arthur Proprietary Red 2018,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,79.99
David Arthur Three Acre Cabernet Sauvignon 2017,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,179.99
David Arthur Proprietary Red 2017,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,74.99
David Arthur Elevation 1147 Estate Cabernet Sauvignon (1.5 Liter Magnum) 2004,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,329.97
David Arthur Le Boucer 2017,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,165.97
David Finlayson Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,0.0,0,22.99
David Finlayson Chardonnay 2020,"""Chardonnay",US,White Wine,low,medium,,0.0,0,17.99
David Finlayson The Pepper Pot 2018,"""Other Red Blends",US,Red Wine,low,medium,,3.8,12,19.99
David Franz Long Gully Road Semillon 2018,"""Semillon",US,White Wine,medium,medium,,0.0,0,33.99
David Franz Waxing Lyrical Mataro 2019,"""Mourvedre",US,Red Wine,medium,medium,,0.0,0,27.99
David Franz H.P. Hydraulic Press Shiraz 2018,"""Syrah/Shiraz",US,Red Wine,medium,medium,,0.0,0,27.99
David Franz Eden Valley Riesling 2019,"""Riesling",US,White Wine,medium,medium,,0.0,0,29.99
David Franz Eden Valley Riesling 2020,"""Riesling",US,White Wine,medium,medium,,0.0,0,27.99
David Fregonese Barolo Cerretta 2014,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,76.99
David Fregonese Barolo Prapo 2014,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,100.99
David Renaud Irancy 2018,"""Pinot Noir",France,Red Wine,medium,medium,,0.0,0,35.99
David Renaud Irancy 2019,"""Pinot Noir",France,Red Wine,medium,medium,,0.0,0,32.99
Davide Vignato Veneto Primo Incontro Garganega Frizzante 2019,"""Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,0.0,0,19.99
Davide Vignato Col Moenia Gambellara Classico 2018,"""Garganega",US,White Wine,medium,medium,,0.0,0,21.99
Davide Vignato Gambellara Garganega El Gian 2019,"""Garganega",US,White Wine,low,medium,,0.0,0,19.99
Davies Nobles Vineyard Pinot Noir 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,74.99
Davies Ferrington Vineyards Pinot Noir 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,74.99
Davies Napa Valley Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,73.99
Davies Estate Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,129.99
Davis Bynum Virginia's Block Sauvignon Blanc 2019,"""Sauvignon Blanc",US,White Wine,medium,medium,,3.4,6,24.99
Davis Bynum River West Vineyard Chardonnay 2018,"""Chardonnay",US,White Wine,medium,medium,,3.9,10,25.99
Davis Bynum Pinot Noir 2018,"""Pinot Noir",US,Red Wine,medium,medium,,4.2,22,35.99
Davis Family Vineyards Russian River Pinot Noir 2018,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,44.99
Davis Family Vineyards Chardonnay 2018,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,47.99
Day Sonoma Zinfandel 2018,"""Zinfandel",US,Red Wine,medium,medium,,0.0,0,33.99
Day Owl Rose 2021,Rosé,US,Red Wine,low,medium,0.0,0.0,0,18.99
De Martino Estate Cabernet Sauvignon 2019,Cabernet Sauvignon,Chile,Red Wine,low,medium,13.5,0.0,0,16.99
De Martino Estate Sauvignon Blanc 2020,"""Sauvignon Blanc",US,White Wine,low,medium,,0.0,0,15.99
De Martino Estate Organic Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,low,medium,,0.0,0,11.99
De Martino Legado Cabernet Sauvignon Reserva 2020,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,0.0,0,24.99
De Martino Legado Carmenere 2020,Carmenere,Chile,Red Wine,low,medium,0.0,0.0,0,19.99
De Martino Vigno Carignan 2019,"""Carignan",US,Red Wine,high,medium,,0.0,0,52.99
De Martino Estate Carmenere 2019,Carmenere,Chile,Red Wine,low,medium,13.0,0.0,0,14.99
De Martino Viejas Tinajas Cinsault 2020,Cinsault,Chile,Red Wine,medium,medium,13.0,0.0,0,39.99
De Martino Estate Cabernet Sauvignon 2020,Cabernet Sauvignon,Chile,Red Wine,low,medium,13.5,0.0,0,15.99
De Martino Gallardia Cinsault 2019,Cinsault,Chile,Red Wine,medium,medium,0.0,3.8,10,23.99
De Toren Z 2015,"""Bordeaux Red Blends",France,Red Wine,medium,medium,,4.2,7,48.99
De Toren Fusion V 2018,"""Bordeaux Red Blends",France,Red Wine,high,medium,,0.0,0,62.99
De Wetshof Lesca Chardonnay 2020,"""Chardonnay",US,White Wine,medium,medium,,4.1,5,29.99
De Wetshof Bateleur Chardonnay 2018,Chardonnay,South Africa,White Wine,high,medium,13.04,0.0,0,60.99
De Wetshof Limestone Hill Chardonnay 2022,"""Chardonnay",US,White Wine,low,medium,,0.0,0,19.99
De Wetshof Bon Vallon Chardonnay 2021,"""Chardonnay",US,White Wine,medium,medium,,4.2,5,22.99
DeAngelis Offida Pecorino 2021,"""Other White Wine",US,White Wine,low,medium,,0.0,0,18.99
DeAngelis Montepulciano d'Abruzzo 2021,"""Montepulciano",US,Red Wine,low,medium,,0.0,0,14.99
DeAngelis Rosso Piceno 2019,"""Other Red Blends",US,Red Wine,low,medium,,3.9,7,14.99
DeAngelis Rosso Piceno 2021,"""Other Red Blends",US,Red Wine,low,medium,,0.0,0,13.99
Decibel Wines Bridge Pa Viognier 2021,"""Viognier",US,White Wine,low,medium,,0.0,0,19.99
Decibel Wines Pinot Noir 2017,"""Pinot Noir",US,Red Wine,medium,medium,,3.9,7,44.99
Decibel Wines Crownthorpe Vineyard Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,0.0,0,19.99
Decibel Wines Malbec Gimblett Gravels 2017,"""Malbec",US,Red Wine,medium,medium,,3.8,28,28.99
Decibel Wines Bridge Pa Viognier 2019,"""Viognier",US,White Wine,medium,medium,,3.2,6,25.99
Decoy Merlot 2019,"""Merlot",US,Red Wine,medium,medium,,4.1,78,25.99
Decoy Limited Sonoma Coast Pinot Noir 2019,"""Pinot Noir",US,Red Wine,medium,medium,,4.0,40,29.99
Decoy Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,medium,medium,,4.8,5,20.99
Decoy Pinot Noir 2020,Pinot Noir,US,Red Wine,medium,medium,13.9,4.4,20,25.99
Decoy California Cabernet Sauvignon 2019,Cabernet Sauvignon,US,Red Wine,medium,medium,13.9,4.0,352,25.99
Decoy Brut Cuvee,Non-Vintage Sparkling Wine,US,Sparkling & Champagne,medium,medium,13.5,3.8,42,25.99
Decoy Zinfandel 2019,"""Zinfandel",US,Red Wine,medium,medium,,4.0,30,25.99
Decoy Limited Napa Valley Red 2018,"""Other Red Blends",US,Red Wine,medium,medium,,4.0,92,29.99
Decoy Limited Sonoma Coast Chardonnay 2020,"""Chardonnay",US,White Wine,medium,medium,,3.6,5,30.99
Decoy Red 2019,Bordeaux Red Blends,US,Red Wine,medium,medium,13.9,4.0,62,25.99
Decoy Limited Napa Valley Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,medium,medium,,4.1,88,29.99
Decoy Rose 2021,Rosé,US,Red Wine,low,medium,13.9,0.0,0,19.99
Deep Down Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,medium,medium,,0.0,0,22.99
Dehours Vignes de la Vallee Brut,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,87.99
Dehours Grande Reserve Brut,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,63.99
Dei Vino Nobile di Montepulciano 2018,"""Sangiovese",US,Red Wine,medium,medium,,4.3,22,34.99
Dei Bossona Vino Nobile di Montepulciano Riserva 2016,"""Sangiovese",US,Red Wine,high,medium,,0.0,0,73.99
Dei Sancta Catharina Toscana 2016,"""Tuscan Blends",Italy,Red Wine,medium,medium,,0.0,0,49.99
Dei Rosso di Montepulciano 2020,"""Sangiovese",US,Red Wine,low,medium,,0.0,0,19.99
Del Dotto Cabernet Sauvignon 2002,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,104.97
Del Dotto Giovanni's Tuscan Reserve 1999,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,119.97
Del Dotto The David 2001,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,139.99
Del Dotto The David 2002,"""Bordeaux Red Blends",France,Red Wine,high,medium,,0.0,0,129.97
Del Dotto The David (scuffed labels) 2000,"""Bordeaux Red Blends",France,Red Wine,high,medium,,0.0,0,159.97
Del Dotto Giovanni's Tuscan Reserve 2001,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,69.97
Delaire Graff Sauvignon Blanc 2020,Sauvignon Blanc,South Africa,White Wine,medium,medium,0.0,0.0,0,20.99
Delaire Graff Reserve Chardonnay 2019,Chardonnay,South Africa,White Wine,medium,high,14.0,0.0,0,29.99
Delaire Graff Botmaskop 2018,"""Bordeaux Red Blends",France,Red Wine,medium,medium,,4.0,20,34.99
Delamotte Blanc de Blancs 2014,"""Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,129.99
Delamotte Blanc de Blancs (1.5 Liter Magnum) 2014,"""Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,249.97
Delamotte Blanc de Blancs,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,4.3,58,90.99
Delamotte Brut,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,4.2,56,66.99
